breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
American Leopard Hound,"American Leopard Hound adalah anjing berukuran sedang hingga besar dan hadir dalam tiga pola: Solid, Leopard, dan Brindle; sembilan warna resmi berbeda; dan berbagai corak, namun enam puluh persen dari semua Macan Tutul Amerika adalah anjing berwarna solid. Trah ini sangat serbaguna dalam berburu berbagai spesies hewan buruan termasuk, namun tidak terbatas pada, rakun, beruang, kucing hutan, tante girang, tupai, dan hewan buruan lainnya yang menyukai pohon. Sebagai ras yang sangat tangguh, mereka juga mampu bertahan dengan baik dalam cuaca ekstrem, baik panas maupun dingin. American Leopard secara resmi diorganisir dan diberi nama American Leopard Cur pada tahun 1960, tetapi diubah oleh anggota klub ras menjadi American Leopard Hound pada tanggal 1 Mei 2008, bertahun-tahun sebelum bergabung dengan American Kennel Club. Breed ContactName: Jackie CarpenterEmail: plott_dog@yahoo.com Kecerdasan adalah salah satu atribut terbaik American Leopard Hound. Trah ini penuh kasih dan sayang terhadap keluarga mereka dan mereka sangat protektif terhadap anak-anak. Macan Tutul Amerika adalah salah satu ras anjing pohon tertua di AS dan memiliki kemampuan pelacakan yang sangat kuat, seringkali mampu melacak mangsa hingga bermil-mil.","Ramah, Energik, Cerdas",,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,1.0,Ingin menyenangkan,0.6,Waspada/Responsif
American Staffordshire Terrier,"AmStaff adalah anjing terrier tipe banteng yang kekar dan berotot dengan tinggi bahu 17 hingga 19 inci. Kepalanya lebar, rahangnya tegas, tulang pipinya menonjol, dan matanya yang bulat dan gelap terletak lebar. Pergerakan AmStaff lincah dan anggun, dengan gaya berjalan kenyal yang menunjukkan kepercayaan diri bawaan ras ini. Mantel yang kaku dan mengkilap hadir dalam berbagai warna dan pola. AmStaffers mendeskripsikan anjing mereka sebagai anjing yang sangat sadar akan lingkungan sekitar, suka bermain apa pun, dan “anjing berkepribadian” yang menyenangkan di sekitar rumah. AmStaff menyukai tantangan mental dan fisik. Mereka sangat mudah dilatih, seperti yang disarankan oleh banyak terjunnya mereka ke dunia hiburan. Saat memperoleh AmStaff, hanya ada satu cara yang harus dilakukan: Kerjakan pekerjaan rumah Anda dan temukan peternak AKC yang bertanggung jawab. American Staffordshire Terrier, yang dikenal oleh penggemarnya sebagai AmStaffs, adalah sahabat yang cerdas, percaya diri, dan baik hati. Keberanian mereka memang luar biasa. AmStaff yang dibesarkan secara bertanggung jawab dan bersosialisasi dengan baik adalah teman yang setia dan dapat dipercaya sampai akhir.","Percaya Diri, Cerdas, Baik Hati",85,43.18,48.26,18.1436948,31.751465900000003,12.0,16.0,Terrier Group,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,0.6,Latihan rutin,0.6,Menyenangkan,0.6,Waspada/Responsif
American Water Spaniel,"American Water Spaniel adalah anjing gundog berukuran sedang yang berotot, tidak mencolok dalam penampilan atau performa, dan dapat dikenali dari bulu coklat indah yang melengkung rapat atau bergelombang. Dibesarkan untuk bekerja di perairan dingin dan tepian rawa di wilayah Great Lakes, anjing spaniel ini cocok untuk pekerjaan itu: Bulunya tebal dan tahan air, kakinya empuk tebal, jari-jari kakinya berselaput, dan tubuhnya cukup kecil untuk menampung air. anjing untuk masuk dan keluar dari perahu tanpa mengguncang perahu. Pengagum ras ini menggambarkan anjing spaniel yang ceria, cerdas, dan serbaguna yang cocok untuk berbagai olahraga anjing. Sebagai pemburu, mereka menggabungkan ciri-ciri kerja spaniel dan retriever. Kunci kebahagiaan American Water Spaniel adalah aktivitas, terutama bersama manusia kesayangannya. Anjing yang setengah menganggur bisa jadi menggonggong dan merusak. American Water Spaniel, yang berasal dari daerah danau di bagian atas Midwest, adalah atlet alam terbuka yang ceria dan suka berburu dan berenang. Mereka dikenal bahagia, bersemangat, dan menawan, meski menyendiri dengan orang asing dan sedikit keras kepala.","Bersemangat, Bahagia, Menawan",166,38.1,45.72,11.33980925,20.41165665,10.0,14.0,Sporting Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.2,Jarang,0.6,Latihan rutin,1.0,Ingin menyenangkan,0.8,Ramah
Anatolian Shepherd Dog,"Anjing Gembala Anatolia memiliki tinggi antara 27 dan 29 inci di bahu dan beratnya dapat mencapai 150 pon. Sangat berotot namun gesit dalam berjalan, orang Anatolia lebih dari sekadar tandingan predator dan medan keras di tanah air mereka. Orang Anatolia adalah keturunan dari beberapa garis keturunan anjing peliharaan tertua yang diketahui. Hal ini memberikan ras ini rasa keabadian, kualitas tanpa embel-embel, dan tak tersentuh yang membawa kita kembali ke 6.000 tahun ke Zaman Perunggu. Orang Anatolia cerdas, berbakti, responsif, dan mudah beradaptasi. Mereka akan melindungi kawanannya—ternak, anak-anak, anjing kecil, bahkan kucing keluarga—dengan penuh intensitas. Pemilik Anatolia harus menjadi pemimpin yang kuat, bersedia dan mampu menangani anjing yang mendominasi dan menuntut serta tenang dan penuh kasih sayang. Anjing Gembala Anatolia adalah penjaga kawanan garis keturunan kuno yang tangguh dan mengesankan. Protektif dan teritorial, tetapi juga cerdas, sabar, dan sangat setia, para pembalas berotot ini dihargai sebagai anjing penjaga yang bekerja tiada bandingannya.","Setia, Mandiri, Pendiam",90,68.58,73.66,36.2873896,68.0388555,11.0,13.0,Working Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.6,Latihan rutin,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Appenzeller Sennenhund,"Appenzeller Sennenhund juga dikenal sebagai Anjing Gunung Appenzeller atau Anjing Sapi Appenzell. Dia lincah, bersemangat tinggi, percaya diri, dapat diandalkan, dan tak kenal takut. Sedikit curiga terhadap orang asing, dia adalah anjing penjaga yang baik dan tidak bisa disuap. Kecerdasan ras ini membuat mereka menjadi pembelajar yang berkemampuan tinggi. Karena kepribadian dan kebutuhan olahraganya, dia tidak cocok untuk tinggal di apartemen. Appenzeller Sennenhund memiliki tiga warna, berukuran sedang, dan bentuknya hampir persegi serta seimbang. Dia berotot dan lincah dan bisa menjadi anjing pengemudi, penjaga, penjaga, rumah atau peternakan yang baik. Karena keserbagunaan dan kemauannya, mereka unggul dalam ketangkasan, kepatuhan, penggembalaan, serta pencarian dan penyelamatan.","Lincah, Serbaguna, Lincah",,48.26,55.88,21.77243376,31.751465900000003,12.0,15.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,0.8,Secara teratur,1.0,Membutuhkan Banyak Aktivitas,0.2,Mungkin keras kepala,0.4,Dicadangkan dengan Orang Asing
Australian Cattle Dog,"Berdiri antara 17 hingga 20 inci di bahu, Anjing Sapi Australia adalah penggembala yang kokoh dan berotot keras yang memiliki kekuatan dan ketangkasan. ACD lahir dengan bulu berwarna putih yang berubah menjadi biru keabu-abuan atau merah. Kedua jenis bulu ini memiliki pola bintik atau bintik yang khas. ACD memiliki dorongan kerja yang besar dan unggul dalam berburu, mengejar, dan, tentu saja, memindahkan ternak. Energi mereka yang tak terbatas dan gaya berjalan yang luwes membuat mereka menjadi mitra lari yang sangat baik. ACD adalah orang yang setia, terkenal cerdas, selalu waspada, dan waspada terhadap orang asing. Jika ACD tidak ditantang, ia mudah bosan dan berbuat nakal. Disarankan agar pemilik ACD berpartisipasi dengan anjingnya dalam beberapa pekerjaan, olahraga, atau olahraga teratur untuk menjaga kesehatan mental dan fisiknya. Anjing Sapi Australia yang kompak namun berotot, juga disebut Blue Heeler atau Queensland Heeler, berkerabat dengan anjing liar Australia yang terkenal, Dingo. Para penggembala yang tangguh ini cukup cerdas untuk secara rutin mengakali pemiliknya.","Waspada, Penasaran, Menyenangkan",55,43.18,50.8,15.875732950000002,22.6796185,12.0,16.0,Herding Group,0.2,Sesekali Mandi/Sikat,0.8,Secara teratur,1.0,Membutuhkan Banyak Aktivitas,0.2,Mungkin keras kepala,0.4,Dicadangkan dengan Orang Asing
Australian Kelpie,"Sebagai anjing penggembala, Kelpie Australia sangat setia dan mengabdi pada tugas. Ia memiliki naluri alami dan bakat untuk bekerja pada domba, baik di ladang terbuka maupun pekarangan tertutup. Trah ini berasal dari anjing jenis Collie yang diimpor dari Skotlandia, namun dikembangkan untuk tahan terhadap panas terik dan kondisi kering di ruang terbuka luas Australia. Kelpie Australia adalah anjing yang lincah dan aktif, mampu bekerja tanpa lelah. Dia sangat cerdas, waspada, dan bersemangat dengan energi tak terbatas.","Setia, Waspada, Cerdas",,43.18,50.8,,,10.0,13.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,0.8,Secara teratur,0.8,Energik,1.0,Ingin menyenangkan,0.6,Waspada/Responsif
Australian Shepherd,"Australian Shepherd, anjing penggembala pilihan koboi, adalah pekerja berukuran sedang dengan tatapan mata yang tajam dan tajam. Mantel Australia menawarkan tampilan berbeda, termasuk merle (pola belang-belang dengan nuansa biru atau merah yang kontras). Dalam segala hal, mereka adalah gambaran pergerakan saham yang tangguh dan gesit. Warga Australia menunjukkan dorongan yang tak tertahankan untuk menggembalakan, apa pun: burung, anjing, anak-anak. Dorongan kerja yang kuat ini dapat membuat orang Australia menjadi terlalu seperti anjing bagi pemilik hewan peliharaan yang tidak banyak bergerak. Orang Australia sangat cerdas, cukup mampu menipu pemilik pemula yang tidak menaruh curiga. Singkatnya, ini bukan hewan peliharaan untuk semua orang. Namun jika Anda mencari pasangan yang cerdas, tak kenal lelah, dan terlatih untuk bekerja atau berolahraga, pencarian Anda mungkin berakhir di sini. Australian Shepherd, seekor anjing peternakan yang kurus dan tangguh, adalah salah satu dari cerita “satu-satunya di Amerika”: ras Eropa yang disempurnakan di California melalui Australia. Perlengkapan di sirkuit rodeo sangat erat kaitannya dengan kehidupan koboi.","Cerdas, Berorientasi pada Pekerjaan, Bersemangat",17,45.72,58.42,18.1436948,29.48350405,12.0,15.0,Herding Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,1.0,Ingin menyenangkan,0.6,Waspada/Responsif
Australian Stumpy Tail Cattle Dog,"Anjing Sapi Ekor Kekar ​​Australia bukanlah Anjing Sapi Australia yang ekornya merapat. Ada perbedaan struktural yang besar dalam jenis ras antara kedua ras anjing ternak. Anjing Sapi Ekor Kekar ​​adalah ras ekor bob alami. Beberapa anak anjing Stumpy Tail dilahirkan dengan ekor yang panjang dan tidak boleh dibuang dari program pembiakan jika mereka memiliki kualitas struktural, melainkan dibiakkan kembali ke ekor bob alami yang berkualitas. Masyarakat Anjing Sapi Ekor Kekar ​​Australia Amerika SerikatDenyse Adams: chredacds8@gmail.comLori Graham: lgraham1145@yahoo.comKim McDonald: breezyacresstumpies@gmail.comKevin Nicholson: nicholson.klnicholson@gmail.com Anjing Sapi Ekor Kekar ​​Australia bukan orang Australia Anjing Sapi dengan ekor merapat. Dia adalah ras alami berekor bob dan berdiri persegi dengan banyak panjang kaki di bawah tubuhnya.","Waspada, Dapat Dilatih, Lucu",,43.18,50.8,14.51495584,20.41165665,12.0,15.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,0.4,Sesekali,0.8,Energik,0.8,Pelatihan Mudah,0.6,Waspada/Responsif
Australian Terrier,"Australian Terrier adalah anjing terrier yang kecil namun kokoh dan percaya diri yang dikenal dengan batang tubuh yang gondrong, hiasan bulu yang khas di sekitar leher dan bagian depan, serta jambul rambut lembut dan halus yang teksturnya kontras dengan bulu yang kasar. Leher yang panjang memberikan sedikit keanggunan pada anjing terrier yang kasar dan siap pakai ini, dan mata gelapnya berkilau dengan kecerdasan yang tajam. Warna bulunya biru kecokelatan, atau merah solid atau berpasir. Orang Australia bergerak dengan gaya berjalan yang bebas dan mudah seperti anjing pekerja. Mereka adalah anjing penjaga yang waspada dan dikatakan cepat belajar saat berlatih. Terrier sejati, orang Australia suka menggali, dan keinginan untuk mengejar makhluk kecil berbulu tidak pernah hilang dari mereka. Tidak selalu cocok untuk rumah dengan banyak anjing, orang Australia menginginkan Anda seutuhnya. Australian Terrier yang mungil itu pemberani, bersemangat, dan cerdas—bagaimana mereka bisa memasukkan begitu banyak anjing ke dalam paket kecil seperti itu? Optimis dan lincah, anjing Australia yang percaya diri ini menjalani kehidupan dengan penuh keingintahuan dan ketabahan seperti anjing terrier masa lalu.","Penuh kasih sayang, Berani, Bersemangat",140,25.4,27.94,6.80388555,9.0718474,11.0,15.0,Terrier Group,0.4,Menyikat Gigi Mingguan,0.2,Jarang,0.8,Energik,0.6,Menyenangkan,0.8,Ramah
